id,year,statename,pcname,candidate,sex,party,total,polled,validv,electors,polled,pollperc,Rank,win,alliance
8915,1996,TAMIL NADU,MADRAS CENTRAL,KCRAJAN,M,IND,502,0.09%,585149,1036649,598008,57.69%,10,0,OTHERS
8916,1996,TAMIL NADU,MADRAS CENTRAL,LMANOHARAN,M,IND,424,0.07%,585149,1036649,598008,57.69%,11,0,OTHERS
8917,1996,TAMIL NADU,MADRAS CENTRAL,VENKATESAN @ AMBETH VENKATESH,M,IND,412,0.07%,585149,1036649,598008,57.69%,12,0,OTHERS
8918,1996,TAMIL NADU,MADRAS CENTRAL,GCHITRARASU,M,IND,393,0.07%,585149,1036649,598008,57.69%,13,0,OTHERS
8919,1996,TAMIL NADU,MADRAS CENTRAL,METHIRAJ PARAIYAN @ METHIRAJ,M,IND,344,0.06%,585149,1036649,598008,57.69%,14,0,OTHERS
8920,1996,TAMIL NADU,MADRAS CENTRAL,PKSOUNDARRAJAN,M,MELPHC,333,0.06%,585149,1036649,598008,57.69%,15,0,OTHERS
8921,1996,TAMIL NADU,MADRAS CENTRAL,RBALUSWAMY,M,IND,292,0.05%,585149,1036649,598008,57.69%,16,0,OTHERS
8922,1996,TAMIL NADU,MADRAS CENTRAL,MRAMANATHAN,M,IND,286,0.05%,585149,1036649,598008,57.69%,17,0,OTHERS
8923,1996,TAMIL NADU,MADRAS CENTRAL,KKDHANDAPANI,M,IND,261,0.04%,585149,1036649,598008,57.69%,18,0,OTHERS
8924,1996,TAMIL NADU,MADRAS CENTRAL,VSASHIKUMAR,M,IND,249,0.04%,585149,1036649,598008,57.69%,19,0,OTHERS
8925,1996,TAMIL NADU,MADRAS CENTRAL,OAVARADA DESIGAN,M,IND,240,0.04%,585149,1036649,598008,57.69%,20,0,OTHERS
8926,1996,TAMIL NADU,MADRAS CENTRAL,KALAIVAN,M,IND,236,0.04%,585149,1036649,598008,57.69%,21,0,OTHERS
8927,1996,TAMIL NADU,MADRAS CENTRAL,SVINCENT NADAR,M,IND,228,0.04%,585149,1036649,598008,57.69%,22,0,OTHERS
8928,1996,TAMIL NADU,MADRAS CENTRAL,NHARIKARAN,M,IND,217,0.04%,585149,1036649,598008,57.69%,23,0,OTHERS
8929,1996,TAMIL NADU,MADRAS CENTRAL,KIRUTHIVASAN,M,IND,215,0.04%,585149,1036649,598008,57.69%,24,0,OTHERS
8930,1996,TAMIL NADU,MADRAS CENTRAL,MTMOHAN,M,IND,199,0.03%,585149,1036649,598008,57.69%,25,0,OTHERS
8931,1996,TAMIL NADU,MADRAS CENTRAL,TKMSUNDARESAN,M,IND,180,0.03%,585149,1036649,598008,57.69%,26,0,OTHERS
8932,1996,TAMIL NADU,MADRAS CENTRAL,CSUBRAMANIAM,M,IND,177,0.03%,585149,1036649,598008,57.69%,27,0,OTHERS
8933,1996,TAMIL NADU,MADRAS CENTRAL,TSLOGANATHAN,M,IND,164,0.03%,585149,1036649,598008,57.69%,28,0,OTHERS
8934,1996,TAMIL NADU,MADRAS CENTRAL,SSELVARAJ,M,IND,162,0.03%,585149,1036649,598008,57.69%,29,0,OTHERS
8935,1996,TAMIL NADU,MADRAS CENTRAL,ARAAJALINGAM,M,IND,154,0.03%,585149,1036649,598008,57.69%,30,0,OTHERS
8936,1996,TAMIL NADU,MADRAS CENTRAL,AKINAS,M,IND,133,0.02%,585149,1036649,598008,57.69%,31,0,OTHERS
8937,1996,TAMIL NADU,MADRAS SOUTH,BAALU TR,M,DMK,538697,61.97%,869334,1572764,885229,56.28%,1,1,DMK
8938,1996,TAMIL NADU,MADRAS SOUTH,GANESHAMH,M,ADMK,199516,22.95%,869334,1572764,885229,56.28%,2,0,OTHERS
8939,1996,TAMIL NADU,MADRAS SOUTH,ASHA MENON @ REVATHI,F,IND,42906,4.94%,869334,1572764,885229,56.28%,3,0,OTHERS
8940,1996,TAMIL NADU,MADRAS SOUTH,MAITREYANV,M,BJP,34356,3.95%,869334,1572764,885229,56.28%,4,0,BJP
8941,1996,TAMIL NADU,MADRAS SOUTH,SENGUTTUVAN R,M,MDMK,29838,3.43%,869334,1572764,885229,56.28%,5,0,OTHERS
8942,1996,TAMIL NADU,MADRAS SOUTH,SIVARAMAN @ SAIDAI SIVA KV,M,PMK,13540,1.56%,869334,1572764,885229,56.28%,6,0,OTHERS
8943,1996,TAMIL NADU,MADRAS SOUTH,ARUN @ KANNAN MK,M,IND,890,0.10%,869334,1572764,885229,56.28%,7,0,OTHERS
8944,1996,TAMIL NADU,MADRAS SOUTH,VENUKUMAR MAHADEVAN,M,IND,753,0.09%,869334,1572764,885229,56.28%,8,0,OTHERS
8945,1996,TAMIL NADU,MADRAS SOUTH,DEENANI,M,IND,563,0.06%,869334,1572764,885229,56.28%,9,0,OTHERS
8946,1996,TAMIL NADU,MADRAS SOUTH,JAYASEELANG,M,MELPHC,492,0.06%,869334,1572764,885229,56.28%,10,0,OTHERS
8947,1996,TAMIL NADU,MADRAS SOUTH,RAMALINGAMV,M,IND,474,0.05%,869334,1572764,885229,56.28%,11,0,OTHERS
8948,1996,TAMIL NADU,MADRAS SOUTH,RAMESHB,M,IND,460,0.05%,869334,1572764,885229,56.28%,12,0,OTHERS
8949,1996,TAMIL NADU,MADRAS SOUTH,PACHAIAPPANK,M,IND,401,0.05%,869334,1572764,885229,56.28%,13,0,OTHERS
8950,1996,TAMIL NADU,MADRAS SOUTH,JAYALAKSHMI VK,F,PHK,361,0.04%,869334,1572764,885229,56.28%,14,0,OTHERS
8951,1996,TAMIL NADU,MADRAS SOUTH,KUMARI J,F,IND,357,0.04%,869334,1572764,885229,56.28%,15,0,OTHERS
8952,1996,TAMIL NADU,MADRAS SOUTH,PERUSIRIAN MP,M,IND,344,0.04%,869334,1572764,885229,56.28%,16,0,OTHERS
8953,1996,TAMIL NADU,MADRAS SOUTH,MOHAN BALA SUBRAMANIYANR,M,SAP,335,0.04%,869334,1572764,885229,56.28%,17,0,BJP AFFILIATED
8954,1996,TAMIL NADU,MADRAS SOUTH,RAGHUPATHIK,M,IND,329,0.04%,869334,1572764,885229,56.28%,18,0,OTHERS
8955,1996,TAMIL NADU,MADRAS SOUTH,KALAIYARASANM,M,IND,319,0.04%,869334,1572764,885229,56.28%,19,0,OTHERS
8956,1996,TAMIL NADU,MADRAS SOUTH,KILNANAKKARAR GRIDATHI ANANDAR,M,IND,313,0.04%,869334,1572764,885229,56.28%,20,0,OTHERS
8957,1996,TAMIL NADU,MADRAS SOUTH,GANESAN,M,IND,299,0.03%,869334,1572764,885229,56.28%,21,0,OTHERS
8958,1996,TAMIL NADU,MADRAS SOUTH,NALLATHAMBI S,M,IND,272,0.03%,869334,1572764,885229,56.28%,22,0,OTHERS
8959,1996,TAMIL NADU,MADRAS SOUTH,ALEXANDER J,M,IND,264,0.03%,869334,1572764,885229,56.28%,23,0,OTHERS
8960,1996,TAMIL NADU,MADRAS SOUTH,EKAMBARAMG,M,IND,252,0.03%,869334,1572764,885229,56.28%,24,0,OTHERS
8961,1996,TAMIL NADU,MADRAS SOUTH,JOSEPH,M,IND,250,0.03%,869334,1572764,885229,56.28%,25,0,OTHERS
8962,1996,TAMIL NADU,MADRAS SOUTH,KIRUTHIVASAN TV,M,IND,249,0.03%,869334,1572764,885229,56.28%,26,0,OTHERS
8963,1996,TAMIL NADU,MADRAS SOUTH,NATARAJAN K,M,IND,238,0.03%,869334,1572764,885229,56.28%,27,0,OTHERS
8964,1996,TAMIL NADU,MADRAS SOUTH,MARICHAMI KURUMANSSS,M,IND,235,0.03%,869334,1572764,885229,56.28%,28,0,OTHERS
8965,1996,TAMIL NADU,MADRAS SOUTH,NATARAJAN A,M,IND,233,0.03%,869334,1572764,885229,56.28%,29,0,OTHERS
8966,1996,TAMIL NADU,MADRAS SOUTH,NAVANEETHAN,M,IND,221,0.03%,869334,1572764,885229,56.28%,30,0,OTHERS
8967,1996,TAMIL NADU,MADRAS SOUTH,RAJENDRANB,M,IND,209,0.02%,869334,1572764,885229,56.28%,31,0,OTHERS
8968,1996,TAMIL NADU,MADRAS SOUTH,HARIHARAN PPR,M,AIDPF,195,0.02%,869334,1572764,885229,56.28%,32,0,OTHERS
8969,1996,TAMIL NADU,MADRAS SOUTH,ILAYAPANDIA ALAGU THEVANP,M,IND,194,0.02%,869334,1572764,885229,56.28%,33,0,OTHERS
8970,1996,TAMIL NADU,MADRAS SOUTH,ELUMALAI J,M,IND,191,0.02%,869334,1572764,885229,56.28%,34,0,OTHERS
8971,1996,TAMIL NADU,MADRAS SOUTH,LAKSHMI V,F,IND,190,0.02%,869334,1572764,885229,56.28%,35,0,OTHERS
8972,1996,TAMIL NADU,MADRAS SOUTH,RAJENDRAN @ RAJANB,M,IND,178,0.02%,869334,1572764,885229,56.28%,36,0,OTHERS
8973,1996,TAMIL NADU,MADRAS SOUTH,KANAGASAIBAI @ MOSES SAIBAIS,M,IND,163,0.02%,869334,1572764,885229,56.28%,37,0,OTHERS
8974,1996,TAMIL NADU,MADRAS SOUTH,KALAIVAN ER,M,IND,131,0.02%,869334,1572764,885229,56.28%,38,0,OTHERS
8975,1996,TAMIL NADU,MADRAS SOUTH,PACHAIAPPAN EAGAIV,M,IND,126,0.01%,869334,1572764,885229,56.28%,39,0,OTHERS
8976,1996,TAMIL NADU,SRIPERUMBUDUR (SC),NAGARATNAMT,M,DMK,431919,57.94%,745490,1156491,779085,67.37%,1,1,DMK
8977,1996,TAMIL NADU,SRIPERUMBUDUR (SC),LATA PRIYAKUMAR,F,INC,186208,24.98%,745490,1156491,779085,67.37%,2,0,OTHERS
8978,1996,TAMIL NADU,SRIPERUMBUDUR (SC),MOORTHYM,M,IND,66760,8.96%,745490,1156491,779085,67.37%,3,0,OTHERS
8979,1996,TAMIL NADU,SRIPERUMBUDUR (SC),KAVINGER KUDIYARASU,M,MDMK,44884,6.02%,745490,1156491,779085,67.37%,4,0,OTHERS
8980,1996,TAMIL NADU,SRIPERUMBUDUR (SC),ARJUNANK,M,BJP,10861,1.46%,745490,1156491,779085,67.37%,5,0,BJP
8981,1996,TAMIL NADU,SRIPERUMBUDUR (SC),SRINIVASANA,M,IND,2477,0.33%,745490,1156491,779085,67.37%,6,0,OTHERS
8982,1996,TAMIL NADU,SRIPERUMBUDUR (SC),SANKARP,M,IND,1533,0.21%,745490,1156491,779085,67.37%,7,0,OTHERS
8983,1996,TAMIL NADU,SRIPERUMBUDUR (SC),MOOVENTHANA,M,IND,848,0.11%,745490,1156491,779085,67.37%,8,0,OTHERS
8984,1996,TAMIL NADU,CHENGALPATTU,PARASURAMANK,M,DMK,410483,58.07%,706830,1043889,738989,70.79%,1,1,DMK
8985,1996,TAMIL NADU,CHENGALPATTU,KRISHNANSM,M,INC,174826,24.73%,706830,1043889,738989,70.79%,2,0,OTHERS
8986,1996,TAMIL NADU,CHENGALPATTU,ARUMUGAMC,M,MDMK,44384,6.28%,706830,1043889,738989,70.79%,3,0,OTHERS
8987,1996,TAMIL NADU,CHENGALPATTU,DAMODARANB,M,AIIC(T),43820,6.20%,706830,1043889,738989,70.79%,4,0,OTHERS
8988,1996,TAMIL NADU,CHENGALPATTU,RAGAVAN KT,M,BJP,11112,1.57%,706830,1043889,738989,70.79%,5,0,BJP
8989,1996,TAMIL NADU,CHENGALPATTU,RADHAKRISHNASHA DV,M,IND,2690,0.38%,706830,1043889,738989,70.79%,6,0,OTHERS
8990,1996,TAMIL NADU,CHENGALPATTU,CHITHARANJAN DOSS AGARAM,M,IND,2544,0.36%,706830,1043889,738989,70.79%,7,0,OTHERS
8991,1996,TAMIL NADU,CHENGALPATTU,ARUMUGAMG,M,MELPHC,2330,0.33%,706830,1043889,738989,70.79%,8,0,OTHERS
8992,1996,TAMIL NADU,CHENGALPATTU,KHALEEL MAHMEDN,M,IND,2245,0.32%,706830,1043889,738989,70.79%,9,0,OTHERS
8993,1996,TAMIL NADU,CHENGALPATTU,SANKARANV,M,IND,1795,0.25%,706830,1043889,738989,70.79%,10,0,OTHERS
8994,1996,TAMIL NADU,CHENGALPATTU,KARNANR,M,IND,1718,0.24%,706830,1043889,738989,70.79%,11,0,OTHERS
8995,1996,TAMIL NADU,CHENGALPATTU,SUNDARAMOORTHY A,M,IND,1595,0.23%,706830,1043889,738989,70.79%,12,0,OTHERS
8996,1996,TAMIL NADU,CHENGALPATTU,SUBRAMANIAM AG,M,IND,1565,0.22%,706830,1043889,738989,70.79%,13,0,OTHERS
8997,1996,TAMIL NADU,CHENGALPATTU,VAIDYANATHASWAMYR,M,IND,1207,0.17%,706830,1043889,738989,70.79%,14,0,OTHERS
8998,1996,TAMIL NADU,CHENGALPATTU,PALANIK,M,IND,1149,0.16%,706830,1043889,738989,70.79%,15,0,OTHERS
8999,1996,TAMIL NADU,CHENGALPATTU,PARAMANANDAM NS,M,IND,1120,0.16%,706830,1043889,738989,70.79%,16,0,OTHERS
9000,1996,TAMIL NADU,CHENGALPATTU,SURESH J,M,IND,860,0.12%,706830,1043889,738989,70.79%,17,0,OTHERS
9001,1996,TAMIL NADU,CHENGALPATTU,MOHAN R,M,IND,741,0.10%,706830,1043889,738989,70.79%,18,0,OTHERS
9002,1996,TAMIL NADU,CHENGALPATTU,DHARMALINGA MUDALIARC,M,IND,646,0.09%,706830,1043889,738989,70.79%,19,0,OTHERS
9003,1996,TAMIL NADU,ARAKKONAM,VELUAM,M,TMC(M),425974,59.05%,721411,1034646,757483,73.21%,1,1,TMC
9004,1996,TAMIL NADU,ARAKKONAM,RAVIRAMR,M,INC,161129,22.34%,721411,1034646,757483,73.21%,2,0,OTHERS
9005,1996,TAMIL NADU,ARAKKONAM,VENUGOPALN,M,AIIC(T),80714,11.19%,721411,1034646,757483,73.21%,3,0,OTHERS
9006,1996,TAMIL NADU,ARAKKONAM,JAYAKARAN JOSEPH,M,JD,31703,4.39%,721411,1034646,757483,73.21%,4,0,NATIONAL FRONT
9007,1996,TAMIL NADU,ARAKKONAM,MANOHARANN,M,BJP,6596,0.91%,721411,1034646,757483,73.21%,5,0,BJP
9008,1996,TAMIL NADU,ARAKKONAM,MANAVALANK,M,IND,3433,0.48%,721411,1034646,757483,73.21%,6,0,OTHERS
9009,1996,TAMIL NADU,ARAKKONAM,SANJEEVIA,M,IND,2017,0.28%,721411,1034646,757483,73.21%,7,0,OTHERS
9010,1996,TAMIL NADU,ARAKKONAM,DILLI R,M,IND,1674,0.23%,721411,1034646,757483,73.21%,8,0,OTHERS
9011,1996,TAMIL NADU,ARAKKONAM,KANDAPPANA,M,IND,1590,0.22%,721411,1034646,757483,73.21%,9,0,OTHERS
9012,1996,TAMIL NADU,ARAKKONAM,KANNOJI RAOS,M,IND,1237,0.17%,721411,1034646,757483,73.21%,10,0,OTHERS
9013,1996,TAMIL NADU,ARAKKONAM,VISVANATHANR,M,IND,1226,0.17%,721411,1034646,757483,73.21%,11,0,OTHERS
9014,1996,TAMIL NADU,ARAKKONAM,VENKATESAPERUMALP,M,IND,1125,0.16%,721411,1034646,757483,73.21%,12,0,OTHERS
9015,1996,TAMIL NADU,ARAKKONAM,CHANDRANR,M,IND,832,0.12%,721411,1034646,757483,73.21%,13,0,OTHERS
9016,1996,TAMIL NADU,ARAKKONAM,KARUNAKARANB,M,IND,718,0.10%,721411,1034646,757483,73.21%,14,0,OTHERS
9017,1996,TAMIL NADU,ARAKKONAM,AGARAM CHITRA RANJAN DAS,M,IND,600,0.08%,721411,1034646,757483,73.21%,15,0,OTHERS
9018,1996,TAMIL NADU,ARAKKONAM,RAJAAR,M,IND,561,0.08%,721411,1034646,757483,73.21%,16,0,OTHERS
9019,1996,TAMIL NADU,ARAKKONAM,MANIEZHILANPULAVAR,M,IND,282,0.04%,721411,1034646,757483,73.21%,17,0,OTHERS
9020,1996,TAMIL NADU,VELLORE,SHANMUGAMP,M,DMK,391141,57.52%,680027,1050168,711693,67.77%,1,1,DMK
9021,1996,TAMIL NADU,VELLORE,AKBER PASHAB,M,INC,180106,26.49%,680027,1050168,711693,67.77%,2,0,OTHERS
9022,1996,TAMIL NADU,VELLORE,DHANDAYUTHAPANIV,M,AIIC(T),35455,5.21%,680027,1050168,711693,67.77%,3,0,OTHERS
9023,1996,TAMIL NADU,VELLORE,ABDUL HAKIMR,M,JD,26080,3.84%,680027,1050168,711693,67.77%,4,0,NATIONAL FRONT
9024,1996,TAMIL NADU,VELLORE,KARNAKERCM,M,BJP,19582,2.88%,680027,1050168,711693,67.77%,5,0,BJP
9025,1996,TAMIL NADU,VELLORE,VENKATESANKK,M,IND,5680,0.84%,680027,1050168,711693,67.77%,6,0,OTHERS
9026,1996,TAMIL NADU,VELLORE,RAJANP,M,IND,3908,0.57%,680027,1050168,711693,67.77%,7,0,OTHERS
9027,1996,TAMIL NADU,VELLORE,KALAIMANIK,M,IND,2478,0.36%,680027,1050168,711693,67.77%,8,0,OTHERS
9028,1996,TAMIL NADU,VELLORE,DAMODARAMM,M,IND,2347,0.35%,680027,1050168,711693,67.77%,9,0,OTHERS
9029,1996,TAMIL NADU,VELLORE,SATHIYAMOORTHYJ,M,IND,1686,0.25%,680027,1050168,711693,67.77%,10,0,OTHERS
9030,1996,TAMIL NADU,VELLORE,PALANIRT,M,IND,1459,0.21%,680027,1050168,711693,67.77%,11,0,OTHERS
9031,1996,TAMIL NADU,VELLORE,PALANI K,M,IND,1397,0.21%,680027,1050168,711693,67.77%,12,0,OTHERS
9032,1996,TAMIL NADU,VELLORE,GURURAJA RAODH,M,IND,1372,0.20%,680027,1050168,711693,67.77%,13,0,OTHERS
9033,1996,TAMIL NADU,VELLORE,ABDUL HALEEMK,M,IND,1153,0.17%,680027,1050168,711693,67.77%,14,0,OTHERS
9034,1996,TAMIL NADU,VELLORE,FAROOQUE,M,IND,1079,0.16%,680027,1050168,711693,67.77%,15,0,OTHERS
9035,1996,TAMIL NADU,VELLORE,MD RAFEEQUEJ,M,IND,1025,0.15%,680027,1050168,711693,67.77%,16,0,OTHERS
9036,1996,TAMIL NADU,VELLORE,ARANI ARUMUGAMA,M,IND,1016,0.15%,680027,1050168,711693,67.77%,17,0,OTHERS
9037,1996,TAMIL NADU,VELLORE,BASKARVS,M,IND,696,0.10%,680027,1050168,711693,67.77%,18,0,OTHERS
9038,1996,TAMIL NADU,VELLORE,SURIYAMOORTHYRN,M,IND,615,0.09%,680027,1050168,711693,67.77%,19,0,OTHERS
9039,1996,TAMIL NADU,VELLORE,DHANAPALNM,M,IND,568,0.08%,680027,1050168,711693,67.77%,20,0,OTHERS
9040,1996,TAMIL NADU,VELLORE,MANOHARC,M,IND,434,0.06%,680027,1050168,711693,67.77%,21,0,OTHERS
9041,1996,TAMIL NADU,VELLORE,PANEERVN,M,IND,413,0.06%,680027,1050168,711693,67.77%,22,0,OTHERS
9042,1996,TAMIL NADU,VELLORE,VARATHANJ,M,IND,337,0.05%,680027,1050168,711693,67.77%,23,0,OTHERS
9043,1996,TAMIL NADU,TIRUPPATTUR,VENUGOPALD,M,DMK,430766,61.55%,699892,1061817,732490,68.98%,1,1,DMK
9044,1996,TAMIL NADU,TIRUPPATTUR,ANBARASUR,M,INC,190502,27.22%,699892,1061817,732490,68.98%,2,0,OTHERS
9045,1996,TAMIL NADU,TIRUPPATTUR,NATARAJANS,M,PMK,35976,5.14%,699892,1061817,732490,68.98%,3,0,OTHERS
9046,1996,TAMIL NADU,TIRUPPATTUR,VANAGAMUDIG,M,MDMK,23667,3.38%,699892,1061817,732490,68.98%,4,0,OTHERS
9047,1996,TAMIL NADU,TIRUPPATTUR,VIJAYANS,M,BJP,10555,1.51%,699892,1061817,732490,68.98%,5,0,BJP
9048,1996,TAMIL NADU,TIRUPPATTUR,KAMALA ANBARASU A,F,IND,2170,0.31%,699892,1061817,732490,68.98%,6,0,OTHERS
9049,1996,TAMIL NADU,TIRUPPATTUR,VAIKUNTHA RAOBK,M,SAP,1287,0.18%,699892,1061817,732490,68.98%,7,0,BJP AFFILIATED
9050,1996,TAMIL NADU,TIRUPPATTUR,SURIYAMOORTHYRN,M,IND,1192,0.17%,699892,1061817,732490,68.98%,8,0,OTHERS
9051,1996,TAMIL NADU,TIRUPPATTUR,JAWAHARK,M,IND,1077,0.15%,699892,1061817,732490,68.98%,9,0,OTHERS
9052,1996,TAMIL NADU,TIRUPPATTUR,SREEDHARANMS,M,IND,1050,0.15%,699892,1061817,732490,68.98%,10,0,OTHERS
9053,1996,TAMIL NADU,TIRUPPATTUR,RAVICHANDRANM,M,IND,967,0.14%,699892,1061817,732490,68.98%,11,0,OTHERS
9054,1996,TAMIL NADU,TIRUPPATTUR,ARIKRISHNANK,M,IND,683,0.10%,699892,1061817,732490,68.98%,12,0,OTHERS
9055,1996,TAMIL NADU,VANDAVASI,BALARAMANL,M,TMC(M),342184,50.34%,679813,1031471,717844,69.59%,1,1,TMC
9056,1996,TAMIL NADU,VANDAVASI,KRISHNASWAMYM,M,INC,168880,24.84%,679813,1031471,717844,69.59%,2,0,OTHERS
9057,1996,TAMIL NADU,VANDAVASI,SENTHAMIZHSELVANP,M,PMK,106388,15.65%,679813,1031471,717844,69.59%,3,0,OTHERS
9058,1996,TAMIL NADU,VANDAVASI,CHINNADURAIA,M,MDMK,39449,5.80%,679813,1031471,717844,69.59%,4,0,OTHERS
9059,1996,TAMIL NADU,VANDAVASI,MUNUSWAMYKR,M,BJP,4986,0.73%,679813,1031471,717844,69.59%,5,0,BJP
9060,1996,TAMIL NADU,VANDAVASI,KRISHNAMOORTHYV,M,IND,3069,0.45%,679813,1031471,717844,69.59%,6,0,OTHERS
9061,1996,TAMIL NADU,VANDAVASI,MUNUSWAMYG,M,IND,2626,0.39%,679813,1031471,717844,69.59%,7,0,OTHERS
9062,1996,TAMIL NADU,VANDAVASI,ELUMALAIS,M,IND,2226,0.33%,679813,1031471,717844,69.59%,8,0,OTHERS
9063,1996,TAMIL NADU,VANDAVASI,KOOTHANMA,M,IND,1961,0.29%,679813,1031471,717844,69.59%,9,0,OTHERS
9064,1996,TAMIL NADU,VANDAVASI,MURUGESANP,M,IND,1364,0.20%,679813,1031471,717844,69.59%,10,0,OTHERS
9065,1996,TAMIL NADU,VANDAVASI,NAMPERUMALRR,M,IND,1351,0.20%,679813,1031471,717844,69.59%,11,0,OTHERS
9066,1996,TAMIL NADU,VANDAVASI,MUNUSWAMYR,M,IND,1090,0.16%,679813,1031471,717844,69.59%,12,0,OTHERS
9067,1996,TAMIL NADU,VANDAVASI,PANDURANGAN,M,IND,1076,0.16%,679813,1031471,717844,69.59%,13,0,OTHERS
9068,1996,TAMIL NADU,VANDAVASI,RASADEVANKAVIGNAR,M,IND,739,0.11%,679813,1031471,717844,69.59%,14,0,OTHERS
9069,1996,TAMIL NADU,VANDAVASI,NARAYANASAMYP,M,IND,688,0.10%,679813,1031471,717844,69.59%,15,0,OTHERS
9070,1996,TAMIL NADU,VANDAVASI,DAVID GNANA,M,IND,604,0.09%,679813,1031471,717844,69.59%,16,0,OTHERS
9071,1996,TAMIL NADU,VANDAVASI,SYED JAFARD,M,IND,598,0.09%,679813,1031471,717844,69.59%,17,0,OTHERS
9072,1996,TAMIL NADU,VANDAVASI,NATARAJANA,M,SAP,534,0.08%,679813,1031471,717844,69.59%,18,0,BJP AFFILIATED
9073,1996,TAMIL NADU,TINDIVANAM,VENKATRAMAN G,M,DMK,367308,53.29%,689228,1034126,724103,70.02%,1,1,DMK
9074,1996,TAMIL NADU,TINDIVANAM,RAMAMURTHEE K,M,INC,177032,25.69%,689228,1034126,724103,70.02%,2,0,OTHERS
9075,1996,TAMIL NADU,TINDIVANAM,ZAINUDDIN AK,M,PMK,79535,11.54%,689228,1034126,724103,70.02%,3,0,OTHERS
9076,1996,TAMIL NADU,TINDIVANAM,DURAI D,M,MDMK,37025,5.37%,689228,1034126,724103,70.02%,4,0,OTHERS
9077,1996,TAMIL NADU,TINDIVANAM,BASKARAN S\,M,BJP,6047,0.88%,689228,1034126,724103,70.02%,5,0,BJP
9078,1996,TAMIL NADU,TINDIVANAM,MOORTHY G,M,IND,4412,0.64%,689228,1034126,724103,70.02%,6,0,OTHERS
9079,1996,TAMIL NADU,TINDIVANAM,VYESU @ YESUDHASAN,M,IND,3617,0.52%,689228,1034126,724103,70.02%,7,0,OTHERS
9080,1996,TAMIL NADU,TINDIVANAM,ELUMALAI YADAVS,M,IND,3401,0.49%,689228,1034126,724103,70.02%,8,0,OTHERS
9081,1996,TAMIL NADU,TINDIVANAM,KALIYAMOORTHY K,M,IND,2376,0.34%,689228,1034126,724103,70.02%,9,0,OTHERS
9082,1996,TAMIL NADU,TINDIVANAM,NAGAMANI MG,M,IND,1831,0.27%,689228,1034126,724103,70.02%,10,0,OTHERS
9083,1996,TAMIL NADU,TINDIVANAM,PULAVAR JAYARAMAN N,M,IND,1403,0.20%,689228,1034126,724103,70.02%,11,0,OTHERS
9084,1996,TAMIL NADU,TINDIVANAM,INIYADAYALAN G,M,IND,1322,0.19%,689228,1034126,724103,70.02%,12,0,OTHERS
9085,1996,TAMIL NADU,TINDIVANAM,MOHAMMED ALI JINNA M,M,IND,1145,0.17%,689228,1034126,724103,70.02%,13,0,OTHERS
9086,1996,TAMIL NADU,TINDIVANAM,SELVARAJ C,M,IND,1044,0.15%,689228,1034126,724103,70.02%,14,0,OTHERS
9087,1996,TAMIL NADU,TINDIVANAM,VENUGOPAL M,M,IND,1032,0.15%,689228,1034126,724103,70.02%,15,0,OTHERS
9088,1996,TAMIL NADU,TINDIVANAM,BALAGURU D,M,IND,698,0.10%,689228,1034126,724103,70.02%,16,0,OTHERS
9089,1996,TAMIL NADU,CUDDALORE,VENKATESAN PRS,M,TMC(M),389660,56.20%,693384,1042486,729417,69.97%,1,1,TMC
9090,1996,TAMIL NADU,CUDDALORE,SANTHAMURTHY V,M,INC,184456,26.60%,693384,1042486,729417,69.97%,2,0,OTHERS
9091,1996,TAMIL NADU,CUDDALORE,SABAPATHY MOHAN RT,M,MDMK,55110,7.95%,693384,1042486,729417,69.97%,3,0,OTHERS
9092,1996,TAMIL NADU,CUDDALORE,KALIA PERUMAL PP,M,AIIC(T),41284,5.95%,693384,1042486,729417,69.97%,4,0,OTHERS
9093,1996,TAMIL NADU,CUDDALORE,APPARSAMY N,M,BJP,7845,1.13%,693384,1042486,729417,69.97%,5,0,BJP
9094,1996,TAMIL NADU,CUDDALORE,KIRUBAPURI M,M,IND,3975,0.57%,693384,1042486,729417,69.97%,6,0,OTHERS
9095,1996,TAMIL NADU,CUDDALORE,MUTHU K,M,IND,2601,0.38%,693384,1042486,729417,69.97%,7,0,OTHERS
9096,1996,TAMIL NADU,CUDDALORE,RANGAN AD ALIAS RANGAN PRAKASH,M,RPI(S),2081,0.30%,693384,1042486,729417,69.97%,8,0,OTHERS
9097,1996,TAMIL NADU,CUDDALORE,VIRUTHAGIRI R,M,IND,1473,0.21%,693384,1042486,729417,69.97%,9,0,OTHERS
9098,1996,TAMIL NADU,CUDDALORE,TMT SAROJINI M,F,IND,1400,0.20%,693384,1042486,729417,69.97%,10,0,OTHERS
9099,1996,TAMIL NADU,CUDDALORE,MOORTHY TK,M,SAP,1043,0.15%,693384,1042486,729417,69.97%,11,0,BJP AFFILIATED
9100,1996,TAMIL NADU,CUDDALORE,ABDUL WAHAB T,M,IND,932,0.13%,693384,1042486,729417,69.97%,12,0,OTHERS
9101,1996,TAMIL NADU,CUDDALORE,THIAGARAJAN V,M,IND,763,0.11%,693384,1042486,729417,69.97%,13,0,OTHERS
9102,1996,TAMIL NADU,CUDDALORE,SUNDARAVADIVELU S,M,IND,422,0.06%,693384,1042486,729417,69.97%,14,0,OTHERS
9103,1996,TAMIL NADU,CUDDALORE,PALANIVELAN VK,M,IND,339,0.05%,693384,1042486,729417,69.97%,15,0,OTHERS
