id,year,statename,pcname,candidate,sex,party,total,polled,validv,electors,polled,pollperc,Rank,win,alliance
72,1996,ANDHRA PRADESH,BHADRACHALAM (ST),BHEERA LAXMI,F,IND,8345,1.28%,650640,1102108,676585,61.39%,7,0,OTHERS
73,1996,ANDHRA PRADESH,BHADRACHALAM (ST),BA TILAK,M,AIIC(T),5370,0.83%,650640,1102108,676585,61.39%,8,0,OTHERS
74,1996,ANDHRA PRADESH,BHADRACHALAM (ST),VAGGELA SRINIVASA RAO,M,IND,2760,0.42%,650640,1102108,676585,61.39%,9,0,OTHERS
75,1996,ANDHRA PRADESH,ANAKAPALLI,AYYANNA PAURUDU CHINTAKAYALA,M,TDP,327290,48.04%,681348,1037055,701725,67.67%,1,1,NATIONAL FRONT
76,1996,ANDHRA PRADESH,ANAKAPALLI,KONATHALA RAMAKRISHNA,M,INC,277118,40.67%,681348,1037055,701725,67.67%,2,0,OTHERS
77,1996,ANDHRA PRADESH,ANAKAPALLI,MALLA SAMBASIVARAO,M,NTRTDP(LP),45986,6.75%,681348,1037055,701725,67.67%,3,0,OTHERS
78,1996,ANDHRA PRADESH,ANAKAPALLI,GOTTUMUKKALA SRIHARIRAJU,M,BJP,19880,2.92%,681348,1037055,701725,67.67%,4,0,BJP
79,1996,ANDHRA PRADESH,ANAKAPALLI,ESWARA JOGARAO,M,IND,3575,0.52%,681348,1037055,701725,67.67%,5,0,OTHERS
80,1996,ANDHRA PRADESH,ANAKAPALLI,KONETI VARALAXMI,F,IND,2889,0.42%,681348,1037055,701725,67.67%,6,0,OTHERS
81,1996,ANDHRA PRADESH,ANAKAPALLI,BHEEMASETTI KRISHNA RAO,M,IND,1328,0.19%,681348,1037055,701725,67.67%,7,0,OTHERS
82,1996,ANDHRA PRADESH,ANAKAPALLI,BADDI SURYANARAYANA,M,IND,1130,0.17%,681348,1037055,701725,67.67%,8,0,OTHERS
83,1996,ANDHRA PRADESH,ANAKAPALLI,BANGARI SIMHACHALAM,M,IND,944,0.14%,681348,1037055,701725,67.67%,9,0,OTHERS
84,1996,ANDHRA PRADESH,ANAKAPALLI,RAMAKRISHNA MUKKU,M,IND,904,0.13%,681348,1037055,701725,67.67%,10,0,OTHERS
85,1996,ANDHRA PRADESH,ANAKAPALLI,CHOKKAKULA KOTESWARA RAO,M,IND,304,0.04%,681348,1037055,701725,67.67%,11,0,OTHERS
86,1996,ANDHRA PRADESH,KAKINADA,GOPALAKRISHNA THOTA,M,TDP,308480,42.37%,727999,1164878,745143,63.97%,1,1,NATIONAL FRONT
87,1996,ANDHRA PRADESH,KAKINADA,THOTA SUBBA RAO,M,INC,269981,37.09%,727999,1164878,745143,63.97%,2,0,OTHERS
88,1996,ANDHRA PRADESH,KAKINADA,CHIKKALA RAMACHANDRARAO,M,NTRTDP(LP),122149,16.78%,727999,1164878,745143,63.97%,3,0,OTHERS
89,1996,ANDHRA PRADESH,KAKINADA,BSR KRISHNA,M,BJP,12751,1.75%,727999,1164878,745143,63.97%,4,0,BJP
90,1996,ANDHRA PRADESH,KAKINADA,MURTHY NAINALASETTY,M,CPI(ML)(L),5029,0.69%,727999,1164878,745143,63.97%,5,0,OTHERS
91,1996,ANDHRA PRADESH,KAKINADA,SENAPATI LOKABAANDAVARAO,M,IND,1276,0.18%,727999,1164878,745143,63.97%,6,0,OTHERS
92,1996,ANDHRA PRADESH,KAKINADA,VENKATARAJU JYOTULA,M,IND,1248,0.17%,727999,1164878,745143,63.97%,7,0,OTHERS
93,1996,ANDHRA PRADESH,KAKINADA,BADUGU SURYA NARAYANA MURTY,M,IND,1014,0.14%,727999,1164878,745143,63.97%,8,0,OTHERS
94,1996,ANDHRA PRADESH,KAKINADA,SEPENI SURYARAO,M,IND,824,0.11%,727999,1164878,745143,63.97%,9,0,OTHERS
95,1996,ANDHRA PRADESH,KAKINADA,PATTAMATTA RAGHU RAMA RAO,M,IND,736,0.10%,727999,1164878,745143,63.97%,10,0,OTHERS
96,1996,ANDHRA PRADESH,KAKINADA,P SUNDARAYYA YADAV,M,SP,714,0.10%,727999,1164878,745143,63.97%,11,0,NATIONAL FRONT
97,1996,ANDHRA PRADESH,KAKINADA,DOKIBURRA RAJA RAO,M,IND,650,0.09%,727999,1164878,745143,63.97%,12,0,OTHERS
98,1996,ANDHRA PRADESH,KAKINADA,GIDLA SIMHACHALAM,M,IND,606,0.08%,727999,1164878,745143,63.97%,13,0,OTHERS
99,1996,ANDHRA PRADESH,KAKINADA,CHANDRAKANTH DODLA,M,IND,445,0.06%,727999,1164878,745143,63.97%,14,0,OTHERS
100,1996,ANDHRA PRADESH,KAKINADA,C SUBHASH,M,AIIC(T),410,0.06%,727999,1164878,745143,63.97%,15,0,OTHERS
101,1996,ANDHRA PRADESH,KAKINADA,GURRAM KAMESWA RAO,M,IND,406,0.06%,727999,1164878,745143,63.97%,16,0,OTHERS
102,1996,ANDHRA PRADESH,KAKINADA,KUNCHE APPARAO,M,IND,361,0.05%,727999,1164878,745143,63.97%,17,0,OTHERS
103,1996,ANDHRA PRADESH,KAKINADA,EEGALA BALA KRISHNA RAO,M,IND,352,0.05%,727999,1164878,745143,63.97%,18,0,OTHERS
104,1996,ANDHRA PRADESH,KAKINADA,N VENKANNABABU(GUPTA)(DAS PRAKASH BABU),M,IND,230,0.03%,727999,1164878,745143,63.97%,19,0,OTHERS
105,1996,ANDHRA PRADESH,KAKINADA,DUNDA SUBBARAJU,M,IND,175,0.02%,727999,1164878,745143,63.97%,20,0,OTHERS
106,1996,ANDHRA PRADESH,KAKINADA,DIMMALA NAGESWARA RAO,M,IND,162,0.02%,727999,1164878,745143,63.97%,21,0,OTHERS
107,1996,ANDHRA PRADESH,RAJAHMUNDRY,CHITTURI RAVINDRA,M,INC,353861,46.78%,756401,1120483,769949,68.72%,1,1,OTHERS
108,1996,ANDHRA PRADESH,RAJAHMUNDRY,CHUNDRU SRIHARI RAO,M,TDP,258695,34.20%,756401,1120483,769949,68.72%,2,0,NATIONAL FRONT
109,1996,ANDHRA PRADESH,RAJAHMUNDRY,GORANTLA BUTCHAIAH CHOWDARY,M,NTRTDP(LP),122699,16.22%,756401,1120483,769949,68.72%,3,0,OTHERS
110,1996,ANDHRA PRADESH,RAJAHMUNDRY,KANTIPUDI SARVARAYUDU,M,BJP,10772,1.42%,756401,1120483,769949,68.72%,4,0,BJP
