year,statename,lcname,candidate,sex,party,total,electors,polled,rank,overpolled,win,alliance
2001,Tamil Nadu,MELUR,SAMAYANALLUR SELAVARASU.S,M,DMK,31172,,125241,2,24.89%,0,DMK
2001,Tamil Nadu,MELUR,RAJAMANICKAM.K.V.V,M,IND,26428,,125241,3,21.10%,0,OTHERS
2001,Tamil Nadu,MELUR,ELAVARASAN.VEERA,M,MDMK,3914,,125241,4,3.13%,0,OTHERS
2001,Tamil Nadu,MELUR,RAJAKILI.K,M,IND,1798,,125241,5,1.44%,0,OTHERS
2001,Tamil Nadu,MELUR,DHARMAR AMBALAM.N,M,JP,1208,,125241,6,0.96%,0,OTHERS
2001,Tamil Nadu,MELUR,KARUPPANAN.M.K,M,DFB,1158,,125241,7,0.92%,0,OTHERS
2001,Tamil Nadu,MELUR,ELANGO.R,M,IND,734,,125241,8,0.59%,0,OTHERS
2001,Tamil Nadu,MELUR,RAMAN.K,M,IND,518,,125241,9,0.41%,0,OTHERS
2001,Tamil Nadu,MELUR,SELVARAJU.M.P,M,PB,301,,125241,10,0.24%,0,OTHERS
2001,Tamil Nadu,METTUPALAYAM,SELVARAJ A.K.,M,ADMK,85578,,142577,1,60.02%,1,ADMK
2001,Tamil Nadu,METTUPALAYAM,B.ARUN KUMAR,M,DMK,44500,,142577,2,31.21%,0,DMK
2001,Tamil Nadu,METTUPALAYAM,RAJENDRAN B.N,M,MDMK,6755,,142577,3,4.74%,0,OTHERS
2001,Tamil Nadu,METTUPALAYAM,U.N.MURUGASAN BENJAMIN,M,NCP,2339,,142577,4,1.64%,0,OTHERS
2001,Tamil Nadu,METTUPALAYAM,M.JABBAR,M,IND,1474,,142577,5,1.03%,0,OTHERS
2001,Tamil Nadu,METTUPALAYAM,R.PREMNATH,M,IND,554,,142577,6,0.39%,0,OTHERS
2001,Tamil Nadu,METTUPALAYAM,G.SATHISH KUMAR,M,IND,512,,142577,7,0.36%,0,OTHERS
2001,Tamil Nadu,METTUPALAYAM,R.RAVI CHANDRAN,M,IND,458,,142577,8,0.32%,0,OTHERS
2001,Tamil Nadu,METTUPALAYAM,P.SELVARAJAN,M,IND,407,,142577,9,0.29%,0,OTHERS
2001,Tamil Nadu,METTUR,SUNDARAMBAL .S,F,ADMK,49504,,117169,1,42.25%,1,ADMK
2001,Tamil Nadu,METTUR,P.GOPAL,M,DMK,41369,,117169,2,35.31%,0,DMK
2001,Tamil Nadu,METTUR,NACHIMTHU.K.P,M,IND,20906,,117169,3,17.84%,0,OTHERS
2001,Tamil Nadu,METTUR,A. ARUMUGAM,M,MDMK,1610,,117169,4,1.37%,0,OTHERS
2001,Tamil Nadu,METTUR,MUNUSAMY.K,M,IND,1304,,117169,5,1.11%,0,OTHERS
2001,Tamil Nadu,METTUR,RAJA .S,M,IND,1040,,117169,6,0.89%,0,OTHERS
2001,Tamil Nadu,METTUR,K. PADMARAJAN,M,IND,809,,117169,7,0.69%,0,OTHERS
2001,Tamil Nadu,METTUR,MANICKAM .K,M,IND,627,,117169,8,0.54%,0,OTHERS
2001,Tamil Nadu,MODAKURICHI, . RAMASAMI P.C.,M,ADMK,74296,,134487,1,55.24%,1,ADMK
2001,Tamil Nadu,MODAKURICHI, . SUBBULAKSHMI JEGADEESAN TMT.,F,DMK,40084,,134487,2,29.81%,0,DMK
2001,Tamil Nadu,MODAKURICHI, . KULANDAIVELU.P.M.,M,MDMK,6332,,134487,3,4.71%,0,OTHERS
2001,Tamil Nadu,MODAKURICHI, . VINAYAGAMOORTHY.N,M,IND,2292,,134487,4,1.70%,0,OTHERS
2001,Tamil Nadu,MODAKURICHI, . THANGAVEL K.S.,M,IND,1960,,134487,5,1.46%,0,OTHERS
2001,Tamil Nadu,MODAKURICHI,SUBRAMANIAN.P,M,IND,1910,,134487,6,1.42%,0,OTHERS
