id,year,statename,pcname,candidate,sex,age,category,party,symbol,general,postal,total,overelectors,overpolled,electors,rank,polled,win,runner,alliance,created_at,updated_at,,
52,2014,Andhra Pradesh,Nizamabad,MALIK MOHTASIM KHAN,M,47,GEN,WPOI,Auto- Rickshaw,43738,76,43814,2.93,4.24,1496193,4,1033924,0,0,OTHERS,,,,
53,2014,Andhra Pradesh,Nizamabad,RAPELLY SRINIVAS,M,39,GEN,AAAP,Broom,2613,8,2621,0.18,0.25,1496193,14,1033924,0,0,OTHERS,,,,
54,2014,Andhra Pradesh,Nizamabad,SAGAR SUDDALA,M,32,SC,BMUP,Cot,1952,26,1978,0.13,0.19,1496193,16,1033924,0,0,OTHERS,,,,
55,2014,Andhra Pradesh,Nizamabad,SINGAREDDY RAVINDRA REDDY,M,46,GEN,YSRCP,Ceiling Fan,3508,21,3529,0.24,0.34,1496193,11,1033924,0,0,OTHERS,,,,
56,2014,Andhra Pradesh,Nizamabad,ABDUL KAREEM KHAN (BABU),M,44,GEN,IND,Bat,1599,2,1601,0.11,0.15,1496193,17,1033924,0,0,OTHERS,,,,
57,2014,Andhra Pradesh,Nizamabad,KANDEM PRABHAKAR,M,45,GEN,IND,Gas Stove,3988,2,3990,0.27,0.39,1496193,9,1033924,0,0,OTHERS,,,,
58,2014,Andhra Pradesh,Nizamabad,KOTAPATI NARSIMHAM NAIDU,M,56,GEN,IND,Gas Cylinder,2458,4,2462,0.16,0.24,1496193,15,1033924,0,0,OTHERS,,,,
59,2014,Andhra Pradesh,Nizamabad,S. CHANDRAIAH,M,66,GEN,IND,Cup & Saucer,2817,0,2817,0.19,0.27,1496193,13,1033924,0,0,OTHERS,,,,
60,2014,Andhra Pradesh,Nizamabad,CHIRULINGADRULA VENKATESHAM,M,40,GEN,IND,Coconut,3091,0,3091,0.21,0.30,1496193,12,1033924,0,0,OTHERS,,,,
61,2014,Andhra Pradesh,Nizamabad,BAGWAN B,M,49,ST,IND,Almirah,8129,0,8129,0.54,0.79,1496193,5,1033924,0,0,OTHERS,,,,
62,2014,Andhra Pradesh,Nizamabad,None of the Above,,,,NOTA,NOTA,7244,22,7266,0.49,0.70,1496193,7,1033924,0,0,OTHERS,,,,
63,2014,Andhra Pradesh,Zahirabad,B.B. PATIL,M,58,GEN,TRS,Car,505983,2678,508661,35.19,46.25,1445354,1,1094806,1,0,OTHERS,,,,
64,2014,Andhra Pradesh,Zahirabad,K.MADAN MOHAN RAO,M,44,GEN,TDP,Bicycle,156807,690,157497,10.90,14.32,1445354,3,1094806,0,0,NDA,,,,
65,2014,Andhra Pradesh,Zahirabad,SYED FEROZUDDIN,M,46,GEN,BSP,Elephant,8165,15,8180,0.57,0.74,1445354,7,1094806,0,0,OTHERS,,,,
66,2014,Andhra Pradesh,Zahirabad,SURESH KUMAR SHETKAR,M,53,GEN,INC,Hand,362939,1091,364030,25.19,33.10,1445354,2,1094806,0,1,UPA,,,,
67,2014,Andhra Pradesh,Zahirabad,MARRI DURGESH,M,30,SC,RPI(A),Sewing Machine,18027,0,18027,1.25,1.64,1445354,4,1094806,0,0,OTHERS,,,,
68,2014,Andhra Pradesh,Zahirabad,MAHMOOD MOHIUDDIN,M,44,GEN,YSRCP,Ceiling Fan,12369,14,12383,0.86,1.13,1445354,5,1094806,0,0,OTHERS,,,,
69,2014,Andhra Pradesh,Zahirabad,DR. SUNEEL KUMAR CHOWDHARY,M,53,GEN,AAAP,Broom,3270,15,3285,0.23,0.30,1445354,10,1094806,0,0,OTHERS,,,,
70,2014,Andhra Pradesh,Zahirabad,TANDALE AMBAJI RAO,M,45,GEN,IND,Slate,2321,2,2323,0.16,0.21,1445354,11,1094806,0,0,OTHERS,,,,
71,2014,Andhra Pradesh,Zahirabad,BENJAMIN RAJU,M,43,GEN,IND,Grapes,4802,2,4804,0.33,0.44,1445354,8,1094806,0,0,OTHERS,,,,
72,2014,Andhra Pradesh,Zahirabad,RAMA RAO,M,45,GEN,IND,Balloon,4426,0,4426,0.31,0.40,1445354,9,1094806,0,0,OTHERS,,,,
73,2014,Andhra Pradesh,Zahirabad,None of the Above,,,,NOTA,NOTA,11157,33,11190,0.77,1.02,1445354,6,1094806,0,0,OTHERS,,,,
74,2014,Andhra Pradesh,Medak,KALVAKUNTLA CHANDRASEKHAR RAO,M,60,GEN,TRS,Car,655484,2008,657492,42.80,55.09,1536166,1,1191011,1,0,OTHERS,,,,
75,2014,Andhra Pradesh,Medak,CHAGANLA NARENDRA NATH,M,49,GEN,BJP,Lotus,181177,627,181804,11.83,15.23,1536166,3,1191011,0,0,NDA,,,,
76,2014,Andhra Pradesh,Medak,Y. SHANKAR GOUD,M,50,GEN,BSP,Elephant,6633,10,6643,0.43,0.56,1536166,8,1191011,0,0,OTHERS,,,,
77,2014,Andhra Pradesh,Medak,DR.P. SHRAVAN KUMAR REDDY,M,39,GEN,INC,Hand,260202,261,260463,16.96,21.82,1536166,2,1191011,0,1,UPA,,,,
78,2014,Andhra Pradesh,Medak,IQBAL ALI ZAFAR,M,59,GEN,MBT,Balloon,5010,0,5010,0.33,0.42,1536166,9,1191011,0,0,OTHERS,,,,
79,2014,Andhra Pradesh,Medak,KOMPELLI PRABHUDAS,M,48,SC,RPI(A),Sewing Machine,7599,0,7599,0.49,0.64,1536166,7,1191011,0,0,OTHERS,,,,
80,2014,Andhra Pradesh,Medak,"PRABHUGOUD, PULLAIAHGARI",M,45,GEN,YSRCP,Ceiling Fan,11744,8,11752,0.77,0.98,1536166,5,1191011,0,0,OTHERS,,,,
81,2014,Andhra Pradesh,Medak,BOMMA BALESHAM,M,62,GEN,PPOI,Television,3296,1,3297,0.21,0.28,1536166,11,1191011,0,0,OTHERS,,,,
82,2014,Andhra Pradesh,Medak,KUNDETI. RAVI.,M,40,GEN,IND,Camera,33507,0,33507,2.18,2.81,1536166,4,1191011,0,0,OTHERS,,,,
83,2014,Andhra Pradesh,Medak,GAJABINKAR BANSILAL,M,49,GEN,IND,Basket containing Fruits,3281,0,3281,0.21,0.27,1536166,12,1191011,0,0,OTHERS,,,,
84,2014,Andhra Pradesh,Medak,GURJADA BHEERAIAH YADAV,M,47,GEN,IND,Coconut,2050,3,2053,0.13,0.17,1536166,14,1191011,0,0,OTHERS,,,,
85,2014,Andhra Pradesh,Medak,BALARAJU MITTAPALLY,M,43,GEN,IND,Carrom Board,2973,0,2973,0.19,0.25,1536166,13,1191011,0,0,OTHERS,,,,
86,2014,Andhra Pradesh,Medak,MEKA. SUBBA RAO,M,37,SC,IND,Cup & Saucer,4441,0,4441,0.29,0.37,1536166,10,1191011,0,0,OTHERS,,,,
87,2014,Andhra Pradesh,Medak,None of the Above,,,,NOTA,NOTA,10687,9,10696,0.70,0.90,1536166,6,1191011,0,0,OTHERS,,,,
88,2014,Andhra Pradesh,Malkajgiri,KARUNAKAR.R,M,48,GEN,BSP,Elephant,6111,22,6133,0.19,0.38,3183083,11,1620444,0,0,OTHERS,,,,
89,2014,Andhra Pradesh,Malkajgiri,CH.MALLA REDDY,M,56,GEN,TDP,Bicycle,522423,933,523356,16.44,32.21,3183083,1,1620444,1,0,NDA,,,,
90,2014,Andhra Pradesh,Malkajgiri,SARVEY SATHYANARAYANA,M,60,GEN,INC,Hand,232989,541,233530,7.34,14.37,3183083,3,1620444,0,0,UPA,,,,
91,2014,Andhra Pradesh,Malkajgiri,HANUMANTH RAO MYNAMPALLY,M,47,GEN,TRS,Car,493433,1757,495190,15.56,30.48,3183083,2,1620444,0,1,OTHERS,,,,
92,2014,Andhra Pradesh,Malkajgiri,DR.JAYAPRAKASH  NARAYAN .N,M,58,GEN,LSP,Whistle,157530,718,158248,4.97,9.74,3183083,4,1620444,0,0,OTHERS,,,,
93,2014,Andhra Pradesh,Malkajgiri,JAJULA BHASKAR,M,39,GEN,SHP,Auto- Rickshaw,7951,2,7953,0.25,0.49,3183083,10,1620444,0,0,OTHERS,,,,
94,2014,Andhra Pradesh,Malkajgiri,V.DINESH REDDY,M,60,GEN,YSRCP,Ceiling Fan,114941,280,115221,3.62,7.09,3183083,5,1620444,0,0,OTHERS,,,,
95,2014,Andhra Pradesh,Malkajgiri,DIVAKAR DHARANIKOTA SUDHAKAR,M,28,GEN,AIMIM,Almirah,18535,9,18544,0.58,1.14,3183083,6,1620444,0,0,OTHERS,,,,
96,2014,Andhra Pradesh,Malkajgiri,PADURI SRINIVAS REDDY,M,39,GEN,TLP,Gas Cylinder,793,9,802,0.03,0.05,3183083,26,1620444,0,0,OTHERS,,,,
97,2014,Andhra Pradesh,Malkajgiri,BANDI SUDHAKAR,M,39,GEN,JaSPa,Chappals,4088,7,4095,0.13,0.25,3183083,13,1620444,0,0,OTHERS,,,,
98,2014,Andhra Pradesh,Malkajgiri,MURARI.T.N,M,60,GEN,SHS,Bow & Arrow,1388,2,1390,0.04,0.09,3183083,20,1620444,0,0,NDA,,,,
99,2014,Andhra Pradesh,Malkajgiri,SATHYANARAYANA YAADAV PEDDIBOYINA,M,40,GEN,BCBDP,Candles,593,3,596,0.02,0.04,3183083,28,1620444,0,0,OTHERS,,,,
100,2014,Andhra Pradesh,Malkajgiri,SUTHARAPU PADMAIAH,M,60,GEN,APRSSP,Batsman,527,2,529,0.02,0.03,3183083,29,1620444,0,0,OTHERS,,,,
101,2014,Andhra Pradesh,Malkajgiri,DR.N.V.SUDHA KIRAN,M,48,GEN,AAAP,Broom,8264,37,8301,0.26,0.51,3183083,9,1620444,0,0,OTHERS,,,,
102,2014,Andhra Pradesh,Malkajgiri,SURAKANTI VENKAT REDDY,M,50,GEN,PPOI,Television,2048,1,2049,0.06,0.13,3183083,16,1620444,0,0,OTHERS,,,,
103,2014,Andhra Pradesh,Malkajgiri,ANJANEYULU.E,M,28,GEN,IND,Bat,2675,2,2677,0.08,0.16,3183083,14,1620444,0,0,OTHERS,,,,
104,2014,Andhra Pradesh,Malkajgiri,KANTE SAYANNA,M,35,GEN,IND,Stethoscope,2260,1,2261,0.07,0.14,3183083,15,1620444,0,0,OTHERS,,,,
105,2014,Andhra Pradesh,Malkajgiri,KOYALKAR BHOJ RAJ,M,56,GEN,IND,Basket containing Fruits,1547,0,1547,0.05,0.10,3183083,18,1620444,0,0,OTHERS,,,,
106,2014,Andhra Pradesh,Malkajgiri,GAJABINKAR BANSILAL,M,47,GEN,IND,Air Conditioner,1416,0,1416,0.04,0.09,3183083,19,1620444,0,0,OTHERS,,,,
107,2014,Andhra Pradesh,Malkajgiri,DASARI BHARATH REDDY,M,28,GEN,IND,Cup & Saucer,1693,0,1693,0.05,0.10,3183083,17,1620444,0,0,OTHERS,,,,
108,2014,Andhra Pradesh,Malkajgiri,PROF. K.NAGESHWAR,M,50,GEN,IND,Telephone,13037,202,13239,0.42,0.81,3183083,7,1620444,0,0,OTHERS,,,,
109,2014,Andhra Pradesh,Malkajgiri,M.NAGESWARA RAO,M,60,GEN,IND,Letter Box,1264,37,1301,0.04,0.08,3183083,22,1620444,0,0,OTHERS,,,,
110,2014,Andhra Pradesh,Malkajgiri,PEESARI SATISH REDDY,M,32,GEN,IND,Harmonium,1325,0,1325,0.04,0.08,3183083,21,1620444,0,0,OTHERS,,,,
111,2014,Andhra Pradesh,Malkajgiri,POTTURI TULASI DAS,M,62,GEN,IND,Walking Stick,411,0,411,0.01,0.03,3183083,31,1620444,0,0,OTHERS,,,,
112,2014,Andhra Pradesh,Malkajgiri,POLISETTY KRISHNA RAO,M,28,GEN,IND,Bottle,495,1,496,0.02,0.03,3183083,30,1620444,0,0,OTHERS,,,,
113,2014,Andhra Pradesh,Malkajgiri,D.BIKSHAPATHI,M,40,GEN,IND,Camera,5715,2,5717,0.18,0.35,3183083,12,1620444,0,0,OTHERS,,,,
